concept_id_1,concept_name_1,attribute_category,gs_concept_id_2,gs_concept_code_2,gs_concept_name_2,predicted_concept_id_2,predicted_concept_code_2,predicted_concept_name_2,matched,status
22274,Neoplasm of uncertain behavior of larynx,Has asso morph,4313421.0,86251006.0,Neoplasm of uncertain behavior,4313421,,Neoplasm of uncertain behavior,True,match
22274,Neoplasm of uncertain behavior of larynx,Has finding site,4262229.0,4596009.0,Laryngeal structure,4262229,,Laryngeal structure,True,match
22288,Hereditary elliptocytosis,Has asso morph,4259404.0,45028007.0,Elliptocyte,4259404,,Elliptocyte,True,match
22288,Hereditary elliptocytosis,Has finding site,4218976.0,41898006.0,Erythrocyte,4218976,,Erythrocyte,True,match
22288,Hereditary elliptocytosis,Has interpretation,4083207.0,281300000.0,Below reference range,4083207,,Below reference range,True,match
22288,Hereditary elliptocytosis,Has interpretation,4083207.0,281300000.0,Below reference range,4083207,,Below reference range,True,match
22288,Hereditary elliptocytosis,Has interpretation,4181412.0,52101004.0,Present,4181412,,Present,True,match
22288,Hereditary elliptocytosis,Has interprets,4030871.0,14089001.0,Red blood cell count,4030871,,Red blood cell count,True,match
22288,Hereditary elliptocytosis,Has interprets,4224294.0,404227002.0,Hemolysis,4224294,,Hemolysis,True,match
22288,Hereditary elliptocytosis,Has interprets,40480067.0,441689006.0,Measurement of total hemoglobin concentration,40480067,,Measurement of total hemoglobin concentration,True,match
22288,Hereditary elliptocytosis,Has occurrence,4116830.0,255399007.0,Congenital,4116830,,Congenital,True,match
22288,Hereditary elliptocytosis,Has pathology,4204670.0,308490002.0,Pathological developmental process,4204670,,Pathological developmental process,True,match
22350,Edema of larynx,Has asso morph,4196943.0,79654002.0,Edema,4196943,,Edema,True,match
22350,Edema of larynx,Has finding site,4262229.0,4596009.0,Laryngeal structure,4262229,,Laryngeal structure,True,match
22492,Foreign body in pharynx,Has asso morph,4078373.0,19227008.0,Foreign body,4078373,,Foreign body,True,match
22492,Foreign body in pharynx,Has finding site,4207370.0,54066008.0,Pharyngeal structure,4207370,,Pharyngeal structure,True,match
22557,Malignant tumor of submandibular gland,Has asso morph,,,,4282379,,Malignant Neoplasm (Morphology),False,extra
22557,Malignant tumor of submandibular gland,Has asso morph,37153816.0,1240414004.0,Malignant neoplasm,37153816,,Malignant neoplasm,True,match
22557,Malignant tumor of submandibular gland,Has finding site,4299196.0,385296007.0,Submandibular salivary gland structure,4299196,,Submandibular salivary gland structure,True,match
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has asso morph,4239211.0,91182001.0,Perforated ulcer,4239211,,Perforated ulcer,True,match
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has asso morph,4243483.0,37904008.0,Chronic bleeding ulcer,4243483,,Chronic bleeding ulcer,True,match
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has asso morph,4208270.0,55075001.0,Bleeding ulcer,,,,False,missed
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has clinical course,4236661.0,90734009.0,Chronic,4236661,,Chronic,True,match
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has finding site,,,,4200674,,Stomach and/or duodenal structures,False,extra
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has finding site,4271189.0,62834003.0,Upper gastrointestinal tract structure,4271189,,Upper gastrointestinal tract structure,True,match
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Has finding site,4046957.0,122865005.0,Gastrointestinal tract structure,,,,False,missed
22666,Vomiting after gastrointestinal tract surgery,Has finding site,4046957.0,122865005.0,Gastrointestinal tract structure,4046957,,Gastrointestinal tract structure,True,match
22666,Vomiting after gastrointestinal tract surgery,Has interprets,4025208.0,106079008.0,Digestive system function,,,,False,missed
22666,Vomiting after gastrointestinal tract surgery,Occurs after,4299602.0,386621005.0,Operation on gastrointestinal tract,,,,False,missed
22722,Accessory salivary gland,Has asso morph,4238909.0,91431006.0,Supernumerary structure,4238909,,Supernumerary structure,True,match
22722,Accessory salivary gland,Has finding site,4294042.0,385294005.0,Salivary gland structure,4294042,,Salivary gland structure,True,match
22722,Accessory salivary gland,Has occurrence,4116830.0,255399007.0,Congenital,4116830,,Congenital,True,match
22722,Accessory salivary gland,Has pathology,4204670.0,308490002.0,Pathological developmental process,4204670,,Pathological developmental process,True,match
22820,Tuberculosis of esophagus,Has asso morph,4269928.0,6266001.0,Granulomatous inflammation,4269928,,Granulomatous inflammation,True,match
22820,Tuberculosis of esophagus,Has causative agent,4035081.0,113858008.0,Mycobacterium tuberculosis complex,4035081,,Mycobacterium tuberculosis complex,True,match
22820,Tuberculosis of esophagus,Has finding site,4140098.0,32849002.0,Esophageal structure,4140098,,Esophageal structure,True,match
22820,Tuberculosis of esophagus,Has pathology,40480911.0,441862004.0,Infectious process,40480911,,Infectious process,True,match
22871,Neoplasm of uncertain behavior of pineal gland,Has asso morph,4313421.0,86251006.0,Neoplasm of uncertain behavior,4313421,,Neoplasm of uncertain behavior,True,match
