__record_tag_AMPP,APID,APPID,COMBPACKCD,DISCCD,DISCDT,INVALID_AMPP,LEGAL_CATCD,NM_AMPP,SUBP,VPPID,__record_tag_AMP,ABBREVNM,AVAIL_RESTRICTCD,COMBPRODCD,DESC,EMA,FLAVOURCD,INVALID_AMP,LIC_AUTHCD,LIC_AUTHCHANGECD,LIC_AUTHCHANGEDT,LIC_AUTH_PREVCD,NM_AMP,NMDT,NM_PREV,PARALLEL_IMPORT,SUPPCD,VPID,__record_tag,INVALID,NM,QTYVAL,QTY_UOMCD,__record_tag_VMP,ABBREVNM_VMP,BASISCD,BASIS_PREVCD,CFC_F,COMBPRODCD_VMP,DF_INDCD,GLU_F,INVALID_VMP,NM_VMP,NMCHANGECD,NMDT_VMP,NMPREV,NON_AVAILCD,NON_AVAILDT,PRES_F,PRES_STATCD,SUG_F,UDFS,UDFS_UOMCD,UNIT_DOSE_UOMCD,VPIDDT,VPIDPREV,VTMID,__record_tag_VTM,ABBREVNM_VTM,INVALID_VTM,NM_VTM,VTMIDDT,VTMIDPREV,AGGREGATED_INGREDIENTS,AGGREGATED_ROUTES,DOSE_FORM,SUPPLIER_NAME
AMPP,37515811000001101,37515911000001106,,,,,3,Latuda 18.5mg tablets (CST Pharma Ltd) 28 tablet,,26654311000001107,AMP,,1,,Latuda 18.5mg tablets (CST Pharma Ltd),,,,1,,,,Latuda 18.5mg tablets,,,1.0,24059811000001102,26655311000001106,VMPP,,Lurasidone 18.5mg tablets 28 tablet,28.0,428673006.0,VMP,,1,,,,1,,,Lurasidone 18.5mg tablets,,,,,,,1,,1.0,428673006.0,428673006.0,,,776588007.0,VTM,,,Lurasidone,2023-02-06,2.66643110000011e+16,Lurasidone hydrochloride 18.5 nan,,,CST Pharma Ltd
AMPP,35547611000001102,35547811000001103,,,,,3,Sertraline 75mg/5ml oral suspension (Special Order) 1 ml,,35547411000001100,AMP,,6,,Sertraline 75mg/5ml oral suspension (Special Order),,,,0,,,,Sertraline 75mg/5ml oral suspension,,,,8286711000001104,35575611000001108,VMPP,,Sertraline 75mg/5ml oral suspension 1 ml,1.0,258773002.0,VMP,,1,,,,2,,,Sertraline 75mg/5ml oral suspension,,,,,,,1,,,,,,,777521008.0,VTM,,,Sertraline,2023-02-06,321958004.0,Sertraline hydrochloride 15.0 nan,,2008-01-11,Special Order
AMPP,29643811000001108,29643911000001103,,1.0,2023-01-01,,4,Juzo Hostess class 2 (23-32mmHg) tights open toe lymphoedema garment standard size V Sesame (Juzo UK Ltd) 1 device,,33019111000001100,AMP,,9,,Juzo Hostess class 2 (23-32mmHg) tights open toe lymphoedema garment standard size V Sesame (Juzo UK Ltd),,,,2,,,,Juzo Hostess class 2 (23-32mmHg) tights open toe lymphoedema garment standard size V,,,,11473311000001109,33508611000001104,VMPP,,Lymphoedema garments tights/panty open toe 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments tights/panty open toe,,,,,,,4,,,,,,,,,,,,,,,,,Juzo UK Ltd
AMPP,19640011000001108,19640111000001109,,,,,4,Sigvaris Advance 1 low compression (14-18mmHg) armsleeve lymphoedema garment normal small Black (Sigvaris Britain Ltd) 1 device,,32996111000001105,AMP,,1,,Sigvaris Advance 1 low compression (14-18mmHg) armsleeve lymphoedema garment normal small Black (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Advance 1 low compression (14-18mmHg) armsleeve lymphoedema garment normal small,,,,10143211000001106,33499911000001109,VMPP,,Lymphoedema garments armsleeve 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments armsleeve,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,24789511000001108,24789611000001107,,,,,4,Sigvaris Essential Comfortable class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment long extra small left Caramel (Sigvaris Britain Ltd) 1 device,,33018711000001108,AMP,,1,,Sigvaris Essential Comfortable class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment long extra small left Caramel (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Essential Comfortable class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment long extra small left,2020-01-01,Sigvaris Comfort class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment long extra small left,,10143211000001106,33508411000001102,VMPP,,Lymphoedema garments thigh length open toe with waist/hip attachment 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments thigh length open toe with waist/hip attachment,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,20839611000001104,20839911000001105,,,,,4,Haddenham Star Cotton class 2 (23-32mmHg) thigh length closed toe with grip top lymphoedema garment extra wide regular size VII Black (Haddenham Healthcare Ltd) 2 device,,33018111000001107,AMP,,1,,Haddenham Star Cotton class 2 (23-32mmHg) thigh length closed toe with grip top lymphoedema garment extra wide regular size VII Black (Haddenham Healthcare Ltd),,,,2,,,,Haddenham Star Cotton class 2 (23-32mmHg) thigh length closed toe with grip top lymphoedema garment extra wide regular size VII,,,,14063811000001106,33507911000001109,VMPP,,Lymphoedema garments thigh length closed toe with top/band/border 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments thigh length closed toe with top/band/border,,,,,,,4,,,,,,,,,,,,,,,,,Haddenham Healthcare Ltd
AMPP,19634211000001107,19634311000001104,,1.0,2013-10-04,,3,Letrozole 2.5mg tablets (Dexcel-Pharma Ltd) 14 tablet,,3668811000001109,AMP,,9,,Letrozole 2.5mg tablets (Dexcel-Pharma Ltd),,,,1,,,,Letrozole 2.5mg tablets,,,,2911401000001108,41878511000001100,VMPP,,Letrozole 2.5mg tablets 14 tablet,14.0,428673006.0,VMP,,1,,,,1,,,Letrozole 2.5mg tablets,,,,,,,1,,1.0,428673006.0,428673006.0,2023-05-26,327377001.0,776502006.0,VTM,,,Letrozole,2023-02-06,108777007.0,Letrozole 2.5 nan,,,Dexcel-Pharma Ltd
AMPP,22116711000001105,22116811000001102,,,,,4,AlgiSorb dressing 10cm x 10cm (Medicareplus International Ltd) 1 dressing,,1162311000001109,AMP,,1,,AlgiSorb dressing 10cm x 10cm (Medicareplus International Ltd),,,,2,,,,AlgiSorb dressing 10cm x 10cm,2017-11-01,Algisorb dressing 10cm x 10cm,,13719311000001102,3120011000001109,VMPP,,Alginate dressing sterile 10cm x 10cm 1 dressing,1.0,3320111000001103.0,VMP,,7,,,,3,,,Alginate dressing sterile 10cm x 10cm,,,,,,,4,,,,,,,,,,,,,,,,,Medicareplus International Ltd
AMPP,22006011000001103,22006111000001102,,1.0,2015-07-01,,4,Sigvaris Essential Thermoregulating Maxi class 3 (34-46mmHg) below knee closed toe lymphoedema garment long medium Anthracite (Sigvaris Britain Ltd) 2 device,,33001311000001104,AMP,,9,,Sigvaris Essential Thermoregulating Maxi class 3 (34-46mmHg) below knee closed toe lymphoedema garment long medium Anthracite (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Essential Thermoregulating Maxi class 3 (34-46mmHg) below knee closed toe lymphoedema garment long medium,2020-01-01,Sigvaris Cotton Xtra Maxi class 3 (33-46mmHg) below knee closed toe lymphoedema garment long medium,,10143211000001106,33501811000001106,VMPP,,Lymphoedema garments below knee closed toe 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments below knee closed toe,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,21082411000001109,21082511000001108,,,,,4,Jobst Opaque class 2 (23-32mmHg) thigh length open toe with dotted silicone band lymphoedema garment standard petite size V Natural (Essity UK Ltd) 2 device,,33018511000001103,AMP,,1,,Jobst Opaque class 2 (23-32mmHg) thigh length open toe with dotted silicone band lymphoedema garment standard petite size V Natural (Essity UK Ltd),,,,2,,,,Jobst Opaque class 2 (23-32mmHg) thigh length open toe with dotted silicone band lymphoedema garment standard petite size V,2014-08-01,Jobst Opaque class 2 (23-32mmHg) thigh length open toe with dotted silicone band lymphoedema garment standard short size V,,3593211000001109,33508211000001101,VMPP,,Lymphoedema garments thigh length open toe with silicone top/band/border 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments thigh length open toe with silicone top/band/border,,,,,,,4,,,,,,,,,,,,,,,,,Essity UK Ltd
